Words,Similarity
meatloaf,1.0
quiche,0.6877667307853699
steak,0.6624027490615845
tenderloin,0.6344153881072998
fries,0.6274441480636597
brisket,0.624628484249115
cheeseburger,0.6229755282402039
burger,0.6147668361663818
stirfry,0.6089388132095337
chowder,0.6051085591316223
tofu,0.5992521643638611
sausage,0.5813493132591248
fondue,0.5804690718650818
sauce,0.5602131485939026
burrito,0.5454217791557312
custard,0.5437487363815308
chicken,0.5422393679618835
cook,0.5277650356292725
pastry,0.525877833366394
fruitcake,0.5173926949501038
parsnip,0.5169570446014404
marinade,0.5089070200920105
vegetarian,0.4891132414340973
griddle,0.4771699011325836
gimlet,0.4712326228618622
broth,0.46638286113739014
kitchen,0.4630182087421417
marmalade,0.46030405163764954
paprika,0.4530576765537262
cake,0.4529477655887604
dinner,0.45060572028160095
tupperware,0.44895777106285095
breakfast,0.4486866593360901
waitperson,0.4463563859462738
butter,0.44310712814331055
watercress,0.43540918827056885
quinoa,0.4340100884437561
marshmallow,0.4313111901283264
slicer,0.4286089837551117
pantry,0.42695337533950806
sesame,0.4159049689769745
snack,0.4158460795879364
pecan,0.4151546061038971
spoon,0.40962785482406616
restaurant,0.4075828790664673
mama,0.40042099356651306
eggnog,0.39185360074043274
ladle,0.3849318325519562
vegetable,0.37987029552459717
kumquat,0.3768358528614044
crustacean,0.37158048152923584
watermelon,0.36446696519851685
crab,0.3630906045436859
bakery,0.36085718870162964
cereal,0.35800811648368835
slop,0.354373037815094
crayfish,0.35033464431762695
stoneware,0.3491435647010803
highchair,0.34875988960266113
cranberry,0.3484886586666107
bran,0.34790071845054626
swordfish,0.34735435247421265
corn,0.346407949924469
wishbone,0.32864677906036377
dishwasher,0.3285866975784302
mushroom,0.3284977078437805
bartender,0.3280298709869385
tub,0.32726311683654785
kitchenette,0.325990229845047
slice,0.32560664415359497
rice,0.3236546814441681
herring,0.3194190561771393
sweater,0.31791892647743225
grapefruit,0.31675243377685547
porch,0.307373970746994
hubcap,0.30719465017318726
bowl,0.30535343289375305
caterer,0.3053266406059265
beet,0.30507713556289673
cider,0.30376046895980835
tux,0.30352166295051575
carbohydrates,0.30326759815216064
sofa,0.3010055124759674
pedicurist,0.30044856667518616
juicer,0.2989148199558258
barracuda,0.2981959581375122
babysitter,0.29758182168006897
tapeworm,0.2949712872505188
doorstop,0.2940845489501953
poncho,0.29321902990341187
chickens,0.292549192905426
chestnut,0.2910400331020355
fork,0.2908143401145935
workingman,0.2906759977340698
duck,0.29042181372642517
cannibal,0.2902890741825104
oat,0.2891428768634796
flannel,0.2891320288181305
honeycomb,0.2883346378803253
