Words,Similarity
meatloaf,1.0
casserole,0.724975
manicotti,0.70369303
quiche,0.7008361
macaroni,0.6896406
steak,0.6765338
pancakes,0.6646698
fries,0.6430385
brisket,0.6403407
pastrami,0.63890237
cheeseburger,0.63875693
soup,0.6378311
bacon,0.63716555
tortellini,0.6355738
pasta,0.6319324
sandwich,0.63000757
spareribs,0.6289121
kabob,0.6261969
pepperoni,0.62218636
filet,0.62163854
chowder,0.6216378
ham,0.6174726
nachos,0.6137258
hamburger,0.61152285
goulash,0.6096749
gingersnap,0.60652864
linguini,0.59414726
eggplant,0.5840585
broccoli,0.57932496
saltine,0.57601935
bun,0.5740943
porkchops,0.57262385
pilaf,0.5694504
sushi,0.5680279
cheese,0.56160873
chicken,0.5614002
hummus,0.55894
baguette,0.5582409
spaghetti,0.5580044
horseradish,0.55413395
pizza,0.5504896
turkey,0.5472139
pastry,0.5457235
fillet,0.5440026
enchilada,0.5398166
avacado,0.53964126
fruitcake,0.53759354
jellyroll,0.53742766
parsnip,0.5371761
giblet,0.53268224
marinade,0.52946305
taco,0.5275147
crepe,0.5272666
asparagus,0.5255048
deli,0.52337277
sorbet,0.5221793
okra,0.52177685
vinaigrette,0.5175351
giblets,0.51711786
curry,0.5126801
parsley,0.5115063
vegetarian,0.5104978
ketchup,0.5090851
pancake,0.5059977
crust,0.5008167
griddle,0.4990544
lamb,0.49380985
gimlet,0.49336562
skillet,0.48830655
meat,0.48823035
kitchen,0.48549506
grandma,0.48419097
monkfish,0.4834437
marmalade,0.4828945
cantaloupe,0.47882965
grill,0.47698605
paprika,0.47595146
cake,0.47584614
lobster,0.47363544
dinner,0.47360212
tupperware,0.47202313
cupcake,0.47130498
amaretto,0.47102198
hotdog,0.4709435
dishcloth,0.4699636
marshmallows,0.46979222
waitperson,0.46953067
mutton,0.46694133
butter,0.4664174
rye,0.46384966
beef,0.46266243
churro,0.4606643
margarine,0.45912004
watercress,0.45904168
grandmom,0.45774105
quinoa,0.45770115
avocado,0.45733386
tablecloth,0.4570456
marshmallow,0.45511526
onion,0.45484504
slicer,0.45252612
scampi,0.45183167
mushrooms,0.45139152
cumin,0.4501721
gingerroot,0.44969305
thyme,0.44922617
jelly,0.44882828
tripe,0.44392288
chef,0.44217697
garlic,0.44206837
potato,0.4404225
sesame,0.44035387
snack,0.44029745
flour,0.4376794
tomato,0.43725923
lemon,0.4365902
toast,0.4363186
smokehouse,0.43598023
fridge,0.43581247
spoon,0.4343395
restaurant,0.43238014
waitress,0.43082866
icebox,0.42674875
mama,0.425518
microwave,0.4240593
refridgerator,0.42396063
refrigerator,0.42236078
linoleum,0.421153
toaster,0.41969007
cornhusk,0.41701066
taffy,0.4163384
venison,0.41624403
tapioca,0.4154521
mustard,0.41523784
cooker,0.4144108
ladle,0.4106772
haunch,0.40973523
baker,0.40907004
truffle,0.40847483
sweetie,0.40756378
vegetable,0.40582752
mom,0.40516618
brat,0.4039615
yellowtail,0.39989606
mealworm,0.39923337
drumstick,0.39848045
momma,0.39731485
peeler,0.39650947
apricot,0.39647833
grandmamma,0.39579132
pineapple,0.39490113
catfish,0.39329693
blender,0.39243636
kitchenware,0.39242014
crackers,0.39181906
flavor,0.3909408
eggs,0.39024952
toffee,0.39015913
groceries,0.38862225
bakery,0.38761026
melon,0.38742584
anchovy,0.387358
flaxseed,0.38735214
cereal,0.38488045
heirloom,0.38439253
dollop,0.38371667
blueberry,0.38292935
butterfat,0.38239825
mussels,0.38199505
slop,0.38139752
hunks,0.379368
pinecone,0.3787469
camisole,0.37797332
crayfish,0.37752816
lunchbox,0.37724206
highchair,0.37601933
cranberry,0.37575945
cheesecloth,0.37568265
corn,0.37376583
cavewoman,0.37333518
saucepan,0.37299538
grater,0.3727806
stewpot,0.37249187
carnivore,0.371078
washstand,0.3697499
patio,0.3693164
confection,0.36641538
toothpick,0.3660054
sifter,0.36557224
cheapskate,0.36542004
candyland,0.36452958
bourbon,0.36436233
wigwam,0.36407292
chicory,0.36360526
strawberry,0.36314994
masher,0.36259896
birdseed,0.36191443
homebody,0.36005783
taste,0.35848105
mommy,0.358087
apron,0.35807613
wishbone,0.3567481
mushroom,0.3566053
bartender,0.356157
tub,0.35542235
kitchenette,0.35420275
slice,0.35383523
rice,0.35196498
carafe,0.351441
pepper,0.3513648
nightlight,0.35107097
pheasant,0.35105985
boysenberry,0.3509828
eggshell,0.3509441
nightcaps,0.35088593
breadbox,0.35071543
tearoom,0.35023707
dad,0.35002166
mailman,0.3497569
honey,0.34968486
spoons,0.34919
licorice,0.34891006
insides,0.34885845
apples,0.34818166
rattlesnake,0.34801424
herring,0.34790662
steamer,0.34751433
songbook,0.34685862
milkmaid,0.3467878
sweater,0.34646928
fat,0.34460756
tutu,0.34347087
greens,0.34249994
blowfish,0.34209657
shellfish,0.3418248
turtleneck,0.34085596
brontosaurus,0.34062663
tableware,0.34060776
cutlery,0.34017432
hobo,0.33951283
tongs,0.33946183
mango,0.33918434
muslin,0.338696
compost,0.33866522
binky,0.33844846
battleaxe,0.33784944
nightgown,0.3377759
fireplace,0.33646208
porch,0.33636573
hubcap,0.33619392
canola,0.33608744
footstool,0.3352924
caterer,0.3344041
chiffon,0.33421418
beet,0.33416504
washcloth,0.33381477
teepee,0.33302408
cider,0.3329035
tux,0.33267468
carbohydrates,0.33243126
recliner,0.3324279
tray,0.3321014
breasts,0.33184034
carcass,0.3316707
potpourri,0.33164275
cups,0.33158123
pleat,0.33130336
cleaver,0.33108246
gourd,0.3308931
whittler,0.33076614
copperhead,0.33062658
spearmint,0.330401
sofa,0.33026382
stuff,0.3298615
pig,0.32977977
pedicurist,0.3297302
houseplant,0.32932493
dick,0.3291232
jazzercise,0.32901934
papaya,0.32883048
juicer,0.32826066
chopstick,0.3279764
fig,0.3279677
barracuda,0.3275719
shedder,0.32747042
vanilla,0.32731217
babysitter,0.32698348
toliet,0.32678083
jukebox,0.326057
mother,0.32571533
tapeworm,0.3244822
blacktop,0.32430002
gal,0.3242968
outhouse,0.32405165
honeysuckle,0.3239421
doorstop,0.32363257
cardboard,0.32359424
pegboard,0.32355615
cedar,0.32307085
bowls,0.32286188
latchkey,0.32119215
birdhouse,0.32113808
poinsettia,0.32104036
dress,0.32093906
kid,0.32026714
duck,0.32012314
testicle,0.3199943
peanut,0.3195423
honker,0.31899682
flannel,0.31888735
banquet,0.31870604
honeycomb,0.31812334
geode,0.3177287
bragger,0.3175937
liqueur,0.31757587
hunk,0.31753466
octopus,0.31746915
sleet,0.31699497
dandelion,0.31683084
pinwheel,0.31664804
takeaway,0.3166038
lightswitch,0.31618956
poop,0.31514055
dreamcatcher,0.31483865
doorknob,0.31473404
utensils,0.3144686
firetrap,0.31426272
hoodie,0.31389138
pan,0.31283018
grinder,0.31181124
squaw,0.31179872
cellmate,0.3117136
trout,0.31168118
goop,0.3110741
sandlot,0.31103793
daybook,0.3110354
cafe,0.31102377
